assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCF_000706765.1,Bifidobacterium [indicum] DSM 20214 = LMG 11587,LMG 11587,Complete Genome,MIRA v. 3.4.1,PRJNA206546,SAMN05771123,1734546.0,60.5,1.0,1734546.0,,isolate,,,,,False,False,False,,,,indicum,,,,unknown,none,other,none,unknown,none,Bifidobacterium indicum
GCF_000771325.1,Bifidobacterium [indicum] DSM 20214 = LMG 11587,DSM 20214,Contig,SOAPdenovo v. 2.01,PRJNA237576,SAMN02442022,1723960.0,60.5,30.0,1013517.0,,isolate,,,,,False,False,False,,,,indicum,,,,unknown,none,other,none,unknown,none,Bifidobacterium indicum
GCA_000706765.1,Bifidobacterium [indicum] DSM 20214 = LMG 11587,LMG 11587,Complete Genome,MIRA v. 3.4.1,PRJNA206546,SAMN05771123,1734546.0,60.5,1.0,1734546.0,,isolate,,,,,False,False,False,,,,indicum,,,,unknown,none,other,none,unknown,none,Bifidobacterium indicum
GCA_000771325.1,Bifidobacterium [indicum] DSM 20214 = LMG 11587,DSM 20214,Contig,SOAPdenovo v. 2.01,PRJNA237576,SAMN02442022,1723960.0,60.5,30.0,1013517.0,,isolate,,,,,False,False,False,,,,indicum,,,,unknown,none,other,none,unknown,none,Bifidobacterium indicum
GCF_001263395.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Complete Genome,A5-Miseq v. v1; SPAdes v. 3.1.0,PRJNA286033,SAMN02442035,1830060.0,62.5,1.0,1830060.0,,isolate,,,,,False,False,False,,,,actinocoloniiforme,,,,unknown,none,other,none,unknown,none,Bifidobacterium actinocoloniiforme
GCF_000741095.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Contig,Mira v. 4.0,PRJNA239834,SAMN02673422,1823388.0,62.5,4.0,1428599.0,,isolate,bumblebee,Bumblebee digestive tract,,,True,True,False,bumblebee,bumblebee digestive tract,,actinocoloniiforme,bumblebee,bumblebee digestive tract,missing,bumblebee,biosample,insect_gut,biosample,unknown,none,Bifidobacterium actinocoloniiforme
GCF_000771585.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Contig,SOAPdenovo v. 2.01,PRJNA237576,SAMN02442035,1818483.0,62.5,63.0,110892.0,,isolate,,,,,False,False,False,,,,actinocoloniiforme,,,,unknown,none,other,none,unknown,none,Bifidobacterium actinocoloniiforme
GCA_000741095.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Contig,Mira v. 4.0,PRJNA239834,SAMN02673422,1823388.0,62.5,4.0,1428599.0,,isolate,bumblebee,Bumblebee digestive tract,,,True,True,False,bumblebee,bumblebee digestive tract,,actinocoloniiforme,bumblebee,bumblebee digestive tract,missing,bumblebee,biosample,insect_gut,biosample,unknown,none,Bifidobacterium actinocoloniiforme
GCA_000771585.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Contig,SOAPdenovo v. 2.01,PRJNA237576,SAMN02442035,1818483.0,62.5,63.0,110892.0,,isolate,,,,,False,False,False,,,,actinocoloniiforme,,,,unknown,none,other,none,unknown,none,Bifidobacterium actinocoloniiforme
GCA_001263395.1,Bifidobacterium actinocoloniiforme DSM 22766,DSM 22766,Complete Genome,A5-Miseq v. v1; SPAdes v. 3.1.0,PRJNA286033,SAMN02442035,1830060.0,62.5,1.0,1830060.0,,isolate,,,,,False,False,False,,,,actinocoloniiforme,,,,unknown,none,other,none,unknown,none,Bifidobacterium actinocoloniiforme
